category,title_ar,title_en,slug,active_period,school
thinkers,إرفنغ بيبر,Irving Bieber,thk-ibieber,1962-1985,العلاج بالتحويل (Conversion Therapy)
thinkers,إيرفينغ برينر,Irving Brenner,thk-ibrenner,,التحليل النفسي
thinkers,تشو هي-سو,Cho Hee-soo / Hesoo Cha,thk-icheolhong,2000,علم نفس التحرير (Liberation Psychology)
thinkers,ستيف دي شازر,Steve de Shazer,thk-idesazer,1978-2005,العلاج القصير المرتكز على الحل (SFBT)
thinkers,توماس هانا,Thomas Hanna,thk-idmarshall,1970-1990,Body-Mind Centering
thinkers,شيرلي إِيبِرغ,Sheila M. Eyberg,thk-ieyberg,1980,PCIT
thinkers,إيزادور فروم,Isadore From,thk-ifrom,1965-2010,علاج الجشطالت (Gestalt Therapy)
thinkers,إِهالِيكالا هيو لين,Ihaleakala Hew Len,thk-ihewlen,1991,Ho'oponopono (هاواي)
thinkers,إرنست ر. هيلغارد,Ernest R. Hilgard,thk-ihilgard,1945-2001,التنويم العلاجي السريري
thinkers,إغناثيو مارتن-بارو,Ignacio Martín-Baró,thk-imartinbaro,1975-1989,علم نفس التحرير (Liberation Psychology)
thinkers,إيان باركر,Ian Parker,thk-iparker,1989,علم النفس النقدي
thinkers,إيفان بافلوف,Ivan Pavlov,thk-ipavlov,,مدرسة التحليل النفسي
thinkers,إيان بلاير,Ian Player,thk-iplayer,,مدرسة التحليل النفسي
thinkers,إيرا بروغوف,Ira Progoff,thk-iprogoff,1959-1998,العلاج بالكتابة/الكتابة التعبيرية
thinkers,إيريش فروم,Erich Fromm,thk-irerich,1941-1976,الفرويدية الجديدة/التحليل البيني الثقافي
thinkers,لوس إيريغاراي,Luce Irigaray,thk-irigaray,,مدرسة التحليل النفسي
thinkers,إيلانا روبنفِلد,Ilana Rubenfeld,thk-irubenfeld,1975-2019,الجشطالت الجسدي (Naranjo)
thinkers,إيرفين يالوم,Irvin D. Yalom,thk-irvinyalom,1962,المدرسة الوجودية
thinkers,سوزان إسكس,Susan Isaacs,thk-isaacs,,مدرسة التحليل النفسي
thinkers,[جمعية ISAP / إيلينا/آنا فاي-قاردنر],ISAP Zurich founders and senior figures,thk-isap,,مدرسة التحليل النفسي
thinkers,إيفان سيباستياني,Ivan Sebastiani,thk-isebastiani,,علم نفس الجسد
thinkers,إيزابيل سكيلّا,Isabel Squella,thk-isquella,,مدرسة التحليل النفسي
thinkers,إيروين سترانسكي,Irwin Stransky,thk-istansky,1910,علاج التبعية-السلطة (SAR)
thinkers,بي. كيه. إس. آيَنغَر,B. K. S. Iyengar,thk-iyengar,1936-2014,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,إديث جاكوبسون,Edith Jacobson,thk-jacobson,,مدرسة التحليل النفسي
thinkers,جاكلين أستنغتون,Jacqueline A. Astington,thk-jacqueline-astington,2010,تحليل المعاملات (TA)
thinkers,جاكلين پيرت,Jacqueline Peart,thk-jacqueline-peart,2010,br-restorative-justice
thinkers,جاكلين تورتوريلا,Jacqueline Tortorella,thk-jacqueline-tortorella,2018,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جاكلين فارنر,Jacqueline M. Varner,thk-jacqueline-varner,2010,br-sport-psychology
thinkers,جانيت أدلر,Janet Adler,thk-jadler,1980,الحركة الأصيلة
thinkers,أنييلا يافّه,Aniela Jaffé,thk-jaffe,,مدرسة التحليل النفسي
thinkers,نوربلز إيفانز-هيل,Nobles Evans-Hill,thk-jakhan,1972,علم النفس المتمركز حول أفريقيا
thinkers,خوان أنطونيو ألياغا,Juan Antonio Aliaga,thk-jaliaga,,مدرسة التحليل النفسي
thinkers,جيمس بيرمان,James S. Berman,thk-james-berman,2010,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جيمس غومپرت,James Gumpert,thk-james-gumpert,2010,العلاج القائم على الأمل (Snyder)
thinkers,بيير جانيه,Pierre Janet,thk-janet,1889,المدرسة الوجودية
thinkers,جانيت هيلمز,Janet E. Helms,thk-janethelms,1984,الاستشارات متعددة الثقافات
thinkers,جانيس ويليامز,Janice Williams,thk-janicewilliams,2005,Te Whare Tapa Whā (نموذج)
thinkers,جارلينا وايت,Jarlena White,thk-jarlena-white,2010,فرق العكس العاكسة (Reflecting Teams)
thinkers,جاي إيرلي,Jay Earley,thk-jayearly,1995,الأنساق الأسرية الداخلية (IFS)
thinkers,جين أَيرس,A. Jean Ayres,thk-jayres,1960-1988,التكامل الحسي (Sensory Integration)
thinkers,جون بانمن,John Banmen,thk-jbanmen,1975,نموذج ساتير للنمو
thinkers,جون بايلين,Jon Baylin,thk-jbaylin,1990,br-ddp
thinkers,جوديث بِك,Judith S. Beck,thk-jbeck,1985,العلاج المعرفي الكلاسيكي
thinkers,جون بيب,John Beebe,thk-jbeebe,,مدرسة التحليل النفسي
thinkers,جوناثان بِكر,Jonathan Becker,thk-jbeker,2000,DDP (العلاج التفاعلي النمائي الثنائي)
thinkers,جيسيكا بنيامين,Jessica Benjamin,thk-jbenjamin,1988,التحليل النفسي النسوي
thinkers,ستيفن بيكو النفسي,Steve Biko (Psychological Reading),thk-jbiko,1970-1977,علم نفس الأوبونتو (Ubuntu)
thinkers,ج. غاري بيسّل,J. Gary Bissel,thk-jbissel,,مدرسة التحليل النفسي
thinkers,جين بيكر ميلر,Jean Baker Miller,thk-jbmiller,1976-2006,العلاج النفسي النسوي
thinkers,ديفيد بيرسيلي,David Berceli,thk-jboss,1990,TRE (تمارين إطلاق الصدمة)
thinkers,كاثلين براون,Kathleen Brown,thk-jbrowne,2000,العلاج بالكتابة/الكتابة التعبيرية
thinkers,ديفيد بيرنز,David D. Burns,thk-jburns,1980,العلاج المعرفي الكلاسيكي
thinkers,جوليا كاميرون,Julia Cameron,thk-jcameron,1992,العلاج بالكتابة/الكتابة التعبيرية
thinkers,جوليا كاولي,Julia Cawley,thk-jcawley,1990,br-psychoeducation
thinkers,جون سي. غيبز,John C. Gibbs,thk-jcgibbs,1979,br-aggression-treatment
thinkers,جون تشارلز,John Charles,thk-jchales,2000,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,جودي تشامبرلين,Judi Chamberlin,thk-jchamberlin,1975-2010,br-peer-support
thinkers,جون هـ. مَكغْرِي,John H. McGrew,thk-jcmcgrew,1990,br-psychiatric-rehabilitation
thinkers,جان-كلود ميلنر,Jean-Claude Milner,thk-jcmilner,,التحليل النفسي
thinkers,خورخي كولابينتو,Jorge Colapinto,thk-jcolapinto,1975,العلاج الأسري البنيوي
thinkers,جون كونستانتينو,John N. Constantino,thk-jconstantino,2000,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,جوزيف ب. كورّان,Joseph P. Curran,thk-jcurran,1977-1990,المعرفية السلوكية
thinkers,جوردان ديفيد,Jordan David,thk-jdavid,1990-2010,العلاج الاجتماعي (Social Therapy)
thinkers,جوديث دِلوزييه,Judith DeLozier,thk-jdelozier,1975-2015,البرمجة اللغوية العصبية (NLP)
thinkers,جوان ديفيد,JoAnn Difede,thk-jdifede,1998,br-vr-therapy
thinkers,جون دولارد,John Dollard,thk-jdollard,,مدرسة التحليل النفسي
thinkers,وولتر جِيمس أَولِس,Walter James Olweus,thk-jeberenz,1970,علاج التنمر والعدوان
thinkers,جيفري زايغ,Jeffrey K. Zeig,thk-jeffrey-zeig,1980,التنويم الإريكسوني
thinkers,جينا براون,Jenna Brown,thk-jenna-brown,2014,br-discernment-counseling
thinkers,جينيفر تشيڤنز,Jennifer S. Cheavens,thk-jennifer-cheavens,2005,العلاج القائم على الأمل (Snyder)
thinkers,جينيفر أولدنغ,Jennifer Olding,thk-jennifer-olding,2015,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جينيفر شواب,Jennifer L. Schwab,thk-jenniferschwab,2015,Discernment Counseling (الاستشارة التمييزية)
thinkers,جيني كريستنسن,Jenny M. Christensen,thk-jenny-christensen,2010,العلاج الديناميكي البيني القصير (DIT)
thinkers,جوزيف فابري,Joseph Fabry,thk-jfabry,1955-1998,br-logotherapy
thinkers,خورخي فيرير,Jorge N. Ferrer,thk-jferrer,1990-2019,علم النفس التكاملي (Integral)
thinkers,جين فلاكس,Jane Flax,thk-jflax,1980,التحليل النفسي النسوي
thinkers,جون فوكس,John Fox,thk-jfox,1975,الشعر العلاجي
thinkers,جيمس فرامو,James L. Framo,thk-jframo,1962-2006,العلاج الأسري السياقي متعدد الأجيال
thinkers,جيل فريدمان,Jill Freedman,thk-jfreedman,1985,العلاج السردي (Narrative Therapy)
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري
thinkers,جين غيبسر,Jean Gebser,thk-jgebser,1949-1973,علم النفس التكاملي (Integral)
thinkers,جون جيدو,John E. Gedo,thk-jgedo,1965-2014,التنويم التحليلي
thinkers,جوليا غوتمان,Julie Schwartz Gottman,thk-jgottman-sr,1990,طريقة غوتمان الزوجية
thinkers,جون غوتمان,John Gottman,thk-jgottman,1980,طريقة غوتمان الزوجية
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST)
thinkers,جاي ر. غرينبرغ,Jay R. Greenberg,thk-jgreenberg,,التحليل النفسي
thinkers,جايك غرينسبان,Jake Greenspan,thk-jgreenspan,2000,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,جون غريندر,John Grinder,thk-jgrind,1975,br-ai-chatbot-therapy
thinkers,جيمس غروتشتاين,James Grotstein,thk-jgrotstein,,التحليل النفسي
thinkers,جون غروزولير,John Gruzelier,thk-jgruzelier,1985,التغذية الراجعة العصبية
thinkers,جاي هالي,Jay Haley,thk-jhaley,1953-2007,علاج التبعية-السلطة (SAR)
thinkers,جوديث هِرمان,Judith L. Herman,thk-jherman,1981,علاج الصدمة العصبي
thinkers,جيمس هولّيس,James Hollis,thk-jhollis,,مدرسة التحليل النفسي
thinkers,جين هيوستن,Jean Houston,thk-jhouston,1971,EST / Landmark Forum
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة
thinkers,جيم لور,Jim Loehr,thk-jim-loehr,1975,br-performance-psychology
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,يولاندا ياكوبي,Jolande Jacobi,thk-jjacobi,,مدرسة التحليل النفسي
thinkers,هانز يوناس,Hans Jonas,thk-jjonas,1979-1993,البحث الظاهراتي
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations)
thinkers,جون كابات-زين,Jon Kabat-Zinn,thk-jkabat-zinn,1979,الموجة الثالثة
thinkers,كاثلين كاري,Kathleen M. Carroll,thk-jkadden,1989,الإدمان
thinkers,جيروم كاغان,Jerome Kagan,thk-jkagan,1957-2021,علم نفس الطفل
thinkers,جو كاميا,Joe Kamiya,thk-jkamiya,1958-2010,التغذية الراجعة العصبية
thinkers,جون كينستروم,John F. Kihlstrom,thk-jkihnstrom,1975,التنويم العلاجي السريري
thinkers,جيمس كيرش,James Kirsch,thk-jkirsch,,مدرسة التحليل النفسي
thinkers,جاك كورنفيلد,Jack Kornfield,thk-jkornfield,1974,العلاج النفسي التأملي
thinkers,خوسيه لويس تشيرينوس,José Luis Chirinos,thk-jlchirinos,,مدرسة التحليل النفسي
thinkers,جاك ليتشنر,Jack J. Lechner,thk-jlchner,1980,الشعر العلاجي
thinkers,جوزيف لودوكس,Joseph E. LeDoux,thk-jledoux,1977,br-affective-neuroscience-informed
thinkers,جون لِلي,John C. Lilly,thk-jlilly,1954-2001,التنفس الهولوتروبي
thinkers,جويل لوبار,Joel F. Lubar,thk-jlubar,1976-2010,التغذية الراجعة العصبية
thinkers,جوزيف لوبورسكي,Joseph Luborsky,thk-jluborsky,,التحليل النفسي
thinkers,جون لوغر,John Lueger,thk-jlueger,1980,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian)
thinkers,جوانا مايسي,Joanna Macy,thk-jmacy,1978,العلاج البيئي/الطبيعي
thinkers,جيمس ماركويتز,James C. Markowitz,thk-jmarkowitz,1990,العلاج البيني-الشخصي (IPT)
thinkers,[مؤسِّسو أعمدة Rivista di Psicologia Analitica],[Editors of Italian Rivista di Psicologia Analitica],thk-jmertz,,مدرسة التحليل النفسي
thinkers,جوليا ميتشِل,Julia Mitchell,thk-jmitchell,1974,التحليل النفسي النسوي
thinkers,جون موناهان,John Monahan,thk-jmonahan,1973-2017,br-therapeutic-risk-assessment
thinkers,جاكوب مورينو,Jacob L. Moreno,thk-jmoreno,1921-1974,علاج الدراما
thinkers,جون ماندر روس,John Munder Ross,thk-jmunderross,1965,التنويم التحليلي
thinkers,[مؤسِّسو Sandplay Therapy Japan / JST] - Japanese Sandplay second generation,Founders of Japanese Sandplay Therapy Association,thk-jnakamura,,مدرسة التحليل النفسي
thinkers,جوزيف نيكولوسي,Joseph Nicolosi,thk-jnicolosi,1991-2017,العلاج بالتحويل (Conversion Therapy)
thinkers,جون نوركروس,John C. Norcross,thk-jnorcross,1985,العلاج التكاملي
thinkers,جون برايثوايت,John Braithwaite,thk-john-braithwaite,1980,br-restorative-justice
thinkers,جون فريدمان,John Friedman,thk-john-friedman,2012,العلاج القائم على الأمل (Snyder)
thinkers,جون ليبمان,John W. Lippmann,thk-john-lippmann,1995,فرق العكس العاكسة (Reflecting Teams)
thinkers,جون ماكنتوش,John McIntosh,thk-johnmcintosh,1965-2014,الديانيتكس / السيانتولوجيا
thinkers,جون شلين,John M. Shlien,thk-johnshlien,1963-2005,علم النفس الإنساني
thinkers,جوناه لويز,Jonah Lehrer,thk-jonahlewis,2000,تقنية ألكسندر
thinkers,جوناثان بايلن,Jonathan Baylin,thk-jonathanbaylin,2005,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,إرنست جونز,Ernest Jones,thk-jones,,مدرسة التحليل النفسي
thinkers,جوديث جوردان,Judith V. Jordan,thk-jordan,1978,الإنسانية
thinkers,خوسيه أرسينيو,José Arsenio,thk-jose-arsenio,2005,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,خوسيه سالغادو,José Salgado,thk-jose-salgado,1985,التنويم الذاتي
thinkers,جوزيف باربر,Joseph Barber,thk-joseph-barber,2000,أسلوب إلمان في التنويم
thinkers,جوزيف ترايمبل,Joseph E. Trimble,thk-josephtrimble,1980,الاستشارات متعددة الثقافات
thinkers,جون بار,John Parr,thk-jparrh,1995-2015,الأنظمة اللغوية التعاونية
thinkers,جيرالد باترسون,Gerald R. Patterson,thk-jpatterson,1965-2022,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,جيمس و. بينيبيكر,James W. Pennebaker,thk-jpennebaker,1986,العلاج بالكتابة/الكتابة التعبيرية
thinkers,جوناثان بوتر,Jonathan Potter,thk-jpotter,1990,علم النفس الخطابي (Discursive Psychology)
thinkers,جي رامييرو,Jean-Luc Ramaro,thk-jramiro,1995,Ho'oponopono (هاواي)
thinkers,جيل راثوس,Jill H. Rathus,thk-jrathus,1999,الموجة الثالثة
thinkers,جوردان ريد,Jordan Reed,thk-jrivett,1995,العلاج الزوجي التعاوني (Collaborative Couple Therapy)
thinkers,ج. لوك ويلز,J. Luke Wood,thk-jroddy,2000,br-teacch
thinkers,جاك لي روزنبرغ,Jack Lee Rosenberg,thk-jrosenberg,1973-2010,IBP (العلاج التكاملي للجسد)
thinkers,جوزيف ساندلر,Joseph Sandler,thk-jsandler,,التحليل النفسي
thinkers,جنيفر ساندوفال,Jennifer M. Sandoval,thk-jsandoval,,مدرسة التحليل النفسي
thinkers,ياكوب شنايدر,Jakob Schneider,thk-jschneider,1995,تشكيلات الأسرة (Family Constellations)
thinkers,ياكو سيكولا,Jaakko Seikkula,thk-jseikkula,1984,الحوار المفتوح (Open Dialogue)
thinkers,جون شوتر,John Shotter,thk-jshotter,1970-2016,البنائية الاجتماعية (Social Constructionism)
thinkers,جيم سيميرماتشر,Jim Simmermacher,thk-jsimmermacher,1985,الشعر العلاجي
thinkers,جو سبنس,Judy Weiser,thk-jspence,1980,العلاج بالتصوير الضوئي
thinkers,جون شتاينر,John Steiner,thk-jsteiner,,التحليل النفسي
thinkers,جون تيزديل,John D. Teasdale,thk-jteasdale,1995-2023,الموجة الثالثة
thinkers,جينيفر تولمان,Jennifer Tolman,thk-jtolman,2000,العلاج الاجتماعي (Social Therapy)
thinkers,جولي رولينز,Julie Rawlins,thk-julierawlins,2010,تقنية ألكسندر
thinkers,كارل غوستاف يونغ,Carl Jung,thk-jung,,مدرسة التحليل النفسي
thinkers,جون ب. واتسون,John B. Watson,thk-jwatson,,مدرسة التحليل النفسي
thinkers,جون وِكلاند,John H. Weakland,thk-jweakland,1963-1990,العلاج الأسري الاستراتيجي (Palo Alto/MRI)
thinkers,جون ج. وير,John G. Weir,thk-jweir,,مدرسة التحليل النفسي
thinkers,جوزيف وايس,Joseph Weiss,thk-jweiss,,التحليل النفسي
thinkers,جوزيف فايزنباوم,Joseph Weizenbaum,thk-jweizenbaum,1966-2008,br-ai-chatbot-therapy
thinkers,جوزيف ب. ويلرايت,Joseph B. Wheelwright,thk-jwheelwright,,مدرسة التحليل النفسي
thinkers,جان وينر,Jan Wiener,thk-jwiener,,مدرسة التحليل النفسي
thinkers,جوزيف وولب,Joseph Wolpe,thk-jwolpe,1948-1988,المعرفية السلوكية
thinkers,جي-وو بارك,Jae-Woo Park,thk-jwpark,,مدرسة التحليل النفسي
thinkers,جوزيف زِنكِر,Joseph Zinker,thk-jzinker,1970-2010,الجشطالت الجسدي (Naranjo)
thinkers,كارلو كيرانن,Kaarlo Keränen,thk-kaarlokeranen,1990,الحوار المفتوح
thinkers,رينيه كايه,René Kaës,thk-kaes,,مدرسة التحليل النفسي
thinkers,أبرام كاردينر,Abram Kardiner,thk-kardiner,,مدرسة التحليل النفسي
thinkers,كارين هورناي,Karen Horney,thk-karenhorney,1914-1952,الفرويدية الجديدة/التحليل البيني الثقافي
thinkers,كيران عاشان,Kiran Ashana,thk-kashan,2010,علم النفس الإيجابي الشرقي
thinkers,فيرينا كاست,Verena Kast,thk-kast,,التحليل النفسي
thinkers,كاثي لورنسو,Kathy J. Laurenceau,thk-kathylaurenceau,2000,Discernment Counseling (الاستشارة التمييزية)
thinkers,كايتي ري,Katie Rae,thk-katie-rae,2015,إعادة الولادة
thinkers,كاتكا روبين,Katka Rubin,thk-katka-rubin,2012,التركيز (Focusing)
thinkers,هاياو كاوَاي,Hayao Kawai,thk-kawai,,التحليل النفسي
thinkers,كاي برادواي,Kay Bradway,thk-kbradway,,مدرسة التحليل النفسي
thinkers,كينيث كولبي,Kenneth Mark Colby,thk-kcolby,1964-2001,br-ai-chatbot-therapy
thinkers,كينيث كوبر,Kenneth E. Cooper,thk-kcooper,2000,دائرة الأمان (Circle of Security)
thinkers,كيمبرلي كرينشو,Kimberlé W. Crenshaw,thk-kcrenshaw,1989,br-intersectional-feminist
thinkers,كيكو هوشينو,Keiko Hoshino,thk-keiko-hoshino,1980,علاج نايكان
thinkers,تشارلز كيلي,Charles Kelley,thk-kelley,,علم نفس الجسد
thinkers,كولين كيلي,Colleen Kelley,thk-kelleycolleen,1990,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,جورج ألكسندر كيلي,George A. Kelly,thk-kelly-george,1955-1966,المعرفية السلوكية
thinkers,أوتو كيرنبرغ,Otto Kernberg,thk-kernberg,,مدرسة التحليل النفسي
thinkers,مَنفرِد كِتس دي فريس,Manfred F.R. Kets de Vries,thk-kets,,علم النفس الفردي
thinkers,كيفن سپارجر,Kevin L. Sparger,thk-kevin-sparger,2010,العلاج القائم على الأمل (Snyder)
thinkers,كيم فيني,Kim Feeney,thk-kfeeney,2000,PREP (برنامج تعزيز العلاقة والوقاية)
thinkers,كينيث فرانك,Kenneth Frank,thk-kfrank,,مدرسة التحليل النفسي
thinkers,كينيث جيرغن,Kenneth J. Gergen,thk-kgergen,1973,البنائية الاجتماعية (Social Constructionism)
thinkers,كيم غولدنغ,Kim S. Golding,thk-kgolding,1995,DDP (العلاج التفاعلي النمائي الثنائي)
thinkers,ستانيسلاف غروف,Stanislav Grof,thk-kgrof,1960,التنفس الهولوتروبي
thinkers,مسعود خان,Masud Khan,thk-khan,,مدرسة التحليل النفسي
thinkers,كلاوس هولتسكامب,Klaus Holzkamp,thk-kholzkamp,1972-1995,علم النفس النقدي
thinkers,كيم كوان-سونغ,Kim Kwan-sung,thk-kimkwansung,1977-2000,علاج الهوابيونغ (Hwabyung)
thinkers,بيرل كينغ,Pearl King,thk-king,,مدرسة التحليل النفسي
thinkers,كوبِي كامبون,Kobi K. Kambon,thk-kkambon,1990,علم النفس المتمركز حول أفريقيا
thinkers,كينيث كوخ,Kenneth Koch,thk-kkoch,1970-2002,الشعر العلاجي
thinkers,كورت كوفكا,Kurt Koffka,thk-kkoffka,1910-1941,علم النفس الجشطالتي (برلين)
thinkers,ميلاني كلاين,Melanie Klein,thk-klein,,مدرسة التحليل النفسي
thinkers,كارل ليونهارد,Karl Leonhard,thk-kleonhard,1936-1988,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian)
thinkers,كورت لوين,Kurt Lewin,thk-klew,1920-1947,الحقل الظاهراتي (Lewin)
thinkers,كاثرين ماكْلِين,Katherine A. MacLean,thk-kmaclean,2010,العلاج بمساعدة psilocybin
thinkers,آن ميثوفر,Annie Mithoefer,thk-kmithoefer,2001,العلاج بمساعدة السيكوديلك
thinkers,ماساتاكي موريتا,Masatake Morita,thk-kmorita,1920-1938,Constructive Living
thinkers,[مؤسِّسو SFJA / ISAP / NYAAP / JPA / IRSJA / PCSJA / CSJA / DSJA / GAJA / JAWA / NCSJA / NMSJA / OVAJA / PAJA / PNSJA / PSJA],Founders of US Jungian associations and institutes,thk-kmurah,,مدرسة التحليل النفسي
thinkers,كويتشي ناكامورا,Kōichi Nakamura,thk-knakamura,1980,Constructive Living
thinkers,[مؤسِّسو DGAP] DGAP founders (ألمانيا),DGAP founders (Deutsche Gesellschaft für Analytische Psychologie),thk-knoblauch,,مدرسة التحليل النفسي
thinkers,ريتشارد كوغان,Richard Kogan,thk-kogan,,مدرسة التحليل النفسي
thinkers,هاينز كوهوت,Heinz Kohut,thk-kohut,,مدرسة التحليل النفسي
thinkers,فريدريك ك. بْلوت,Frederick C. Plaut,thk-kplaut,,مدرسة التحليل النفسي
thinkers,كين رِجباي,Ken Rigby,thk-krigby,1994,علاج التنمر والعدوان
thinkers,إرنست كريس,Ernst Kris,thk-kris,,مدرسة التحليل النفسي
thinkers,باري كريشر,Barry Krischer,thk-krischer,1970-2010,br-aggression-treatment
thinkers,جيدو كريشنامورتي,Jiddu Krishnamurti,thk-krishnamurti,1922-1986,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,جوليا كريستيفا,Julia Kristeva,thk-kristeva,,مدرسة التحليل النفسي
thinkers,كريستين بَس,Kristin B. Buss,thk-kristin-buss,2010,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,ك. و. سبنس,Kenneth W. Spence,thk-kspence,,مدرسة التحليل النفسي
thinkers,كلاوس شتينشوف,Klaus Stinshoff,thk-kstinshoff,,علم نفس الجسد
thinkers,فريتز كونكل,Fritz Kunkel,thk-kunkel,,مدرسة التحليل النفسي
thinkers,فريتز كونزلي,Fritz Künzli,thk-kunzli,,مدرسة التحليل النفسي
thinkers,شيرمان كيرتز,Sherman E. Kurtz,thk-kurtz-sherman,2012,br-recovery-oriented
thinkers,كين ويلبر,Ken Wilber,thk-kwilber,1977,علم النفس التكاملي (Integral)
thinkers,كايتي ويتكيفيتش,Katie Witkiewitz,thk-kwitkiewitz,2004,الموجة الثالثة
thinkers,جاك لوكان,Jacques Lacan,thk-lacan,,التحليل النفسي
thinkers,فرانك لاشمان,Frank Lachmann,thk-lachmann,,مدرسة التحليل النفسي
thinkers,إرنستو لاكلاو,Ernesto Laclau,thk-laclau,,التحليل النفسي
thinkers,جان لابلانش,Jean Laplanche,thk-laplanche,,مدرسة التحليل النفسي
thinkers,لويس أرون,Lewis Aron,thk-laron,,مدرسة التحليل النفسي
thinkers,لاري نيمز,Larry Nims,thk-larrynims,2000,تقنيات الحرية الانفعالية (EFT)
thinkers,لارس يوهانسون,Lars Johansson,thk-lars-johansson,2005,فرق العكس العاكسة (Reflecting Teams)
thinkers,لاڤينيا شو,Lavinia Shaw,thk-lavinia-shaw,2005,طريقة فيلدنكرايس
thinkers,صوفي لازارسفيلد,Sofie Lazarsfeld,thk-lazarsfeld,,علم النفس الفردي
thinkers,أرنولد لازاروس,Arnold A. Lazarus,thk-lazarus,1970-2010,المعرفية السلوكية
thinkers,لورا بارِت,Laurence A. Barrett,thk-lbarrett,1980-2010,العلاج بالتحويل (Conversion Therapy)
thinkers,لودفيغ فون برتالانفي,Ludwig von Bertalanffy,thk-lbertal,1932-1972,النظرية العامة للأنظمة
thinkers,لورا س. براون,Laura S. Brown,thk-lbrown,1980,العلاج النفسي النسوي
thinkers,ليندا كارتر,Linda Carter,thk-lcarter,,التحليل النفسي
thinkers,نانسي تشودوروف,Nancy J. Chodorow,thk-lchodorow,1978,التحليل النفسي النسوي
thinkers,لويس كوتزولينو,Louis Cozolino,thk-lcozolino,2002,التكامل العصبي البيني الشخصي (Interpersonal Neurobiology)
thinkers,ألن وولاس,H. Allan Wallace,thk-lcwallace,1972,علم النفس التكاملي (Integral)
thinkers,لاري ديفيدسون,Larry Davidson,thk-ldavidson,1990,br-peer-support
thinkers,لويز دي سالفو,Louise DeSalvo,thk-ldesalvo,1980-2018,العلاج بالكتابة/الكتابة التعبيرية
thinkers,سيرج لوبوفيتشي,Serge Lebovici,thk-lebovici,,مدرسة التحليل النفسي
thinkers,لي هيونغ-جون,Lee Hyung-Jun,thk-leehyungjun,2000,علاج الهوابيونغ (Hwabyung)
thinkers,ليون فِستِنغر,Leon Festinger,thk-lfestinger,1945-1989,الحقل الظاهراتي (Lewin)
thinkers,ليليان فري-رون,Liliane Frey-Rohn,thk-lfever,,مدرسة التحليل النفسي
thinkers,لورانس فيشباين,Lawrence Fischbein,thk-lfish,1980,br-psychiatric-vocational-rehab
thinkers,ليندا هاتش,Linda M. Hatch,thk-lhatch,1990,Body-Mind Centering
thinkers,لويس هِكَر,Lewis Hecker,thk-lhecker,1980,العلاج البيني-الشخصي (IPT)
thinkers,لين هوفمان,Lynn Hoffman,thk-lhoffman,1970,العلاج الأسري الاستراتيجي (MRI/Palo Alto)
thinkers,لويز هولزمان,Lois Holzman,thk-lholzman,1978,العلاج الاجتماعي (Social Therapy)
thinkers,ل. رون هوبارد,L. Ron Hubbard,thk-lhubbard,1950-1986,الديانيتكس / السيانتولوجيا
thinkers,ألسي ليبرمان (باتريسيا),Alicia F. Lieberman,thk-lieberman,1978,الإنسانية
thinkers,ليندا توهيواي سميث,Linda Tuhiwai Smith,thk-lindatuhiwai,1990,Kaupapa Māori Psychology
thinkers,رالف لينتون,Ralph Linton,thk-linton,,مدرسة التحليل النفسي
thinkers,لورنس كولبرغ,Lawrence Kohlberg,thk-lkohlberg,1958-1987,علم نفس الطفل
thinkers,ليندا كون,Linda Kuhn,thk-lkuhn,1990,دائرة الأمان (Circle of Security)
thinkers,لوكا لوزي,Luca Losi,thk-llosi,1995,العلاج الأسري الميلاني (Milan Systemic)
thinkers,ليستر لوبورسكي,Lester Luborsky,thk-lluborsky,1950-2005,التحليل النفسي الدوري (Cyclical Psychodynamics)
thinkers,نيكولاس مازا,Nicholas Mazza,thk-lmazza,1980,الشعر العلاجي
thinkers,لوسي جين ميلر,Lucy Jane Miller,thk-lmiller,1980,التكامل الحسي (Sensory Integration)
